RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.34807722160521537,0.919830299713,0.416003367045,329848,2929,47177,2929,87.88422478
0.24469415545275736,0.893499852493,0.78731911417,325196,7581,17181,7581,94.0124770287
0.2649988548555738,0.836159513507,0.796578488048,320168,12609,16433,12609,92.9775606925
0.24947958213356433,0.90121728989,0.765247638736,326001,6776,18964,6776,93.7759938098
0.26408481082823515,0.903274895573,0.720077243975,326548,6229,22613,6229,93.025921269
0.23519104437189364,0.90363998829,0.802384164985,325865,6912,15964,6912,94.4685172647
0.2344393208158523,0.903073056254,0.805033237191,325797,6980,15750,6980,94.5038204855
0.25401791105979465,0.900987310247,0.752348885285,326098,6679,20006,6679,93.5474900861
0.24875645842254074,0.906277604381,0.762016760952,326411,6366,19225,6366,93.8120224393
0.23354027089436397,0.903967031595,0.806456804031,325856,6921,15635,6921,94.5458941871
0.22958264804129253,0.905590318366,0.815146751173,325912,6865,14933,6865,94.7291807718
0.2256091902430398,0.915164236367,0.814973447384,326674,6103,14947,6103,94.9100493278
0.2276630137262924,0.909454685948,0.815889481698,326215,6562,14873,6562,94.8169552181
0.21267733109392303,0.911253030885,0.851354864266,326079,6698,12008,6698,95.4768352839
0.2144379959922149,0.904270080637,0.855118032259,325464,7313,11704,7313,95.4016345875
0.19376463437176486,0.920789270054,0.88382456705,326635,6142,9385,6142,96.2455266467
0.18611357523859895,0.930896312049,0.88863993662,327448,5329,8996,5329,96.5361737112
