RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.16700102434317698,0.977955081926,0.87699144622,331183,1597,9937,1597,97.2110657868
0.1638068106070191,0.971973883832,0.888243813674,330711,2069,9028,2069,97.3167328799
0.16350392270115038,0.976935388993,0.884010249681,331094,1686,9370,1686,97.3266467261
0.1615250498762794,0.96769882529,0.896351955238,330363,2417,8373,2417,97.3909658262
0.16452117886655374,0.974498493093,0.884579676417,330910,1870,9324,1870,97.2932781704
0.1658969692813567,0.982897062303,0.87431761633,331551,1229,10153,1229,97.2478195583
0.16023246798621918,0.974800037895,0.89161085872,330918,1862,8756,1862,97.4325556203
0.17065323872026314,0.973885587436,0.874354752856,330886,1894,10150,1894,97.0877472114
0.16596254552844558,0.983056274887,0.874057660646,331563,1217,10174,1217,97.2456433482
0.16353349743643814,0.973359403642,0.887377294728,330818,1962,9098,1962,97.3256795216
0.15856380833852918,0.976895453622,0.892390725772,331075,1705,8693,1705,97.4857518685
0.155965359940446,0.973285150238,0.900177017442,330784,1996,8064,1996,97.5674806499
0.15746201983382013,0.980161485778,0.891103326195,331323,1457,8797,1457,97.520571231
0.15671547656740742,0.975813840681,0.896488122501,330985,1795,8362,1795,97.5440259404
0.1558257658356568,0.976723498888,0.897069928079,331053,1727,8315,1727,97.5718330702
0.15435240576643974,0.97198562683,0.90408873154,330675,2105,7748,2105,97.6175334834
