RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.1659188309101373,0.979320919439,0.877598009482,331283,1497,9888,1497,97.2470941549
0.16121787517193767,0.97483253329,0.889914957355,330924,1856,8893,1856,97.4008796725
0.17063198367207652,0.967213114754,0.880804129582,330368,2412,9629,2412,97.0884726148
0.1659916822115227,0.978023643528,0.878687347586,331185,1595,9800,1595,97.2446761437
0.1635113168864657,0.96774626345,0.892885879455,330376,2404,8653,2404,97.326404925
0.15939273680003066,0.975454643862,0.892390725772,330966,1814,8693,1814,97.4593955455
0.1640428223430758,0.978774298205,0.881348798633,331236,1544,9585,1544,97.3089952438
0.16469011067801462,0.980587487565,0.878538801481,331375,1405,9812,1405,97.2877167445
0.16189886442361656,0.97735493646,0.886349850835,331121,1659,9181,1659,97.3788757698
0.15965799365985178,0.97308619691,0.894235173242,330782,1998,8544,1998,97.4509325061
0.17735132015857086,0.979687168236,0.856739660572,331345,1435,11573,1435,96.8546509238
0.1662245918161607,0.967900801468,0.887996236832,330401,2379,9048,2379,97.2369385076
0.15471229325712915,0.972031324916,0.903457410594,330680,2100,7799,2100,97.6064106315
0.15874669629821087,0.971291545541,0.897515566394,330637,2143,8279,2143,97.4799486414
0.15487631168713692,0.968515702479,0.906675909535,330399,2381,7539,2381,97.6013328078
0.15388957892015842,0.971117983568,0.905697981011,330604,2176,7618,2176,97.63179975
