RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.15805814568962076,0.912889761846,0.924327549346,330138,5322,4566,5322,97.5017622581
0.16885480958631688,0.891767562214,0.925272212002,328684,6776,4509,6776,97.148805328
0.17485307897166036,0.883754972156,0.920532325693,328154,7306,4795,7306,96.9426400774
0.16459657981868675,0.898048905719,0.92759243607,329106,6354,4369,6354,97.2907965912
0.17764127142885267,0.904738542742,0.886325593729,329829,5631,6859,5631,96.8443578685
0.18141291034273113,0.900964423126,0.880955932316,329617,5843,7183,5843,96.7089355961
0.16153653701073603,0.903659579964,0.927741593331,329492,5968,4360,5968,97.3905947211
0.17316153321811742,0.875726710386,0.93616069209,327444,8016,3852,8016,97.0015083414
0.2429244253533187,0.758890568996,0.898307893734,318239,17221,6136,17221,94.0987723567
0.9156875421204165,0.140686201859,0.880989078374,10770,324690,7181,324690,16.1516325205
0.9226089663111879,0.139434710054,0.886259301613,5416,330044,6863,330044,14.8792695282
